variavel,deslocamento_s,nrmse_pct,corr,amp_ratio,offset,rms_ref,rms_tst,p2p_ref,p2p_tst,phase_lag_ms,phase_lag_deg,f0_est_hz
vcf,0.116126,0.8220885520113306,0.9997232858623469,0.9995309538720583,-0.04450351156576159,122.70535513445988,122.68175676825955,351.15588,355.42199772595677,0.0,0.0,588.0512980919613
vcd,0.10455099999999999,2.7789209899849165,0.9968939555328067,0.9972221906847029,-0.02494507061972276,122.64833028045553,122.68871593096179,347.92127999999997,355.2927042916417,0.024999999999997247,1.4142857142855585,157.14285714285714
il1,0.10527600000000001,0.3930686101833624,0.999938084569319,0.9990179762687934,-0.3209216604875245,400.491066279422,400.1226774892603,1140.08328,1143.369444902978,0.0,0.0,50.0
il2,0.107501,0.0854696483965763,0.9999983181122689,0.9987897556875882,-0.40587678140224936,400.66534841250905,400.18132490805857,1133.4921199999999,1132.5922050587833,0.0,0.0,50.0
ild,0.116526,4.385961316063371,0.9873605396563008,1.0001986544236503,3.5087196182810694e-06,0.06476727734028762,0.065609411307388,0.23708512,0.26126788184039784,-0.07499999999999174,-13.447171824971837,498.04340092493777
