DadoBrutoInt_ComSinal;DadoReal
135900096689;506,2673117555678
136469582907;508,38881323859096
136977405364;510,28059931099415
137449800759;512,0404092930257
138014291328;514,1433005332947
138463579713;515,8170301951468
138951251604;517,6337495595217
139469493420;519,5643507689238
139881580783;521,0994958244264
140388215466;522,9868570938706
140825737565;524,616753924638
141222497579;526,0948001556098
141718688852;527,9432566910982
142087068303;529,3155770860612
142498572474;530,8485495820642
142946378456;532,516756862402
143283454127;533,7724615894258
143728181044;535,4291984587908
144102627372;536,8241197317839
144434658957;538,0610337741673
144874671238;539,7002072557807
145175733196;540,821750447154
145521889268;542,1112823039293
145902494036;543,5291455537081
146160169743;544,4890623651445
146532598765;545,8764685876667
146829607489;546,9829123057425
147083091902;547,9272153303027
147455947192;549,3162095248699
147680994302;550,1545753404498
147956318821;551,1802391000092
148268626973;552,3436776287854
148448556949;553,0139690227807
148751652583;554,143088247627
148974637882;554,9737732186913
149150647068;555,6294585317373
149455011262;556,7633035108447
149602993278;557,3145794793963
149806475336;558,0726092159748
150047645422;558,9710377976298
150146545464;559,3394691646099
150376485136;560,196061193943
150520943528;560,734210640192
150615836313;561,0877138115466
150847935139;561,9523493163288
150916022996;562,2059963494539
151046184265;562,6908848620951
151219338705;563,3359354175627
151245788312;563,434467881918
151412462394;564,0553772225976
151487030060;564,3331634253263
151503866375;564,3958835862577
151660424363;564,9791075401008
151643214125;564,9149944074452
151693512372;565,1023699790239
151790446017;565,463475946337
151734910815;565,2565911971033
151829038052;565,6072424799204
151830124291;565,6112890355289
151774151499;565,4027741365135
151865581512;565,7433774769306
151775448041;565,4076041318476
151754048050;565,3278829529881
151778022396;565,4171943515539
151643056073;564,9144056178629
151665303333;564,9972831197083
151592295212;564,7253066748381
151459663774;564,2312160655856
151479349289;564,3045503236353
151312034621;563,6812546141446
151216399508;563,3249860554934
151164611669;563,1320613212883
150946334417;562,3189151920378
150891422997;562,114354211837
150741394517;561,5554545708001
150532485668;560,7772084623575
150480381832;560,5831065475941
150236950501;559,6762541718781
150068003266;559,0468766763806
149944412467;558,5864650718868
149650626615;557,4920274876058
149524924353;557,0237500704825
149300592863;556,188050147146
149014664016;555,1228821873665
148888242578;554,6519256308675
148569782946;553,4655710533261
148329552464;552,5706427693367
148134019687;551,8422264121473
147761508449;550,4545139111578
147558852242;549,6995607092977
147257914077;548,5784786827862
146896909979;547,2336336188018
146697758907;546,4917380623519
146306603937;545,0345722474158
145996718154;543,8801577463746
145733389610;542,8991824761033
145292142250;541,2554079666734
145022537774;540,2510530278087
144651655928;538,8694104850292
144217882326;537,2534778937697
143945205321;536,2376768924296
143482055695;534,5123100839555
143102337060;533,0977479368448
142767995666;531,8522291854024
142254586351;529,9396304450929
141915037690;528,6747131124139
141476341841;527,0404437221587
140973017665;525,1654150523245
140626243727;523,8735814653337
140089130978;521,8726805523038
139636497318;520,1864887699485
139231411653;518,677427072078
138651041851;516,5153810791671
138246121184;515,0069340467453
137742805168;513,13193577528
137174320045;511,01416366174817
136759462102;509,4686973914504
136157499664;507,2262125611305
135639107190;505,29505010694265
135164487246;503,5269530341029
134514654592;501,10613775253296
134039056970;499,3343985453248
133469085913;497,2110908962786
132836635663;494,8550301156938
132353668587;493,0558375529945
131686292667;490,5696685127914
131098428284;488,3797030299902
130552350409;486,345404420048
129835392227;483,6745270602405
129290656603;481,6452287249267
128654721092;479,276184335351
127958653247;476,6831295453012
127409415265;474,6370586194098
126683472211;471,9327100031078
126035695850;469,5195550099015
125425104122;467,244923569262
124645622106;464,3411267772317
124032789180;462,05814622342587
123332606772;459,44976349174976
122574466061;456,62546925619245
121956266038;454,3224947080016
121168524426;451,38792852312326
120460507865;448,7503612972796
119790834841;446,25563487783074
118959514095;443,1587237678468
118288534383;440,65912955626845
117532671563;437,8433211259544
116717835371;434,80781976506114
116033735872;432,2593505382538
115186081662;429,1015925332904
114414368630;426,22673746198416
113678999921;423,487275544554
112790215996;420,1762974113226
112055908068;417,4407872110605
111243082064;414,41277438402176
110377164641;411,1869806088507
109639969169;408,44071346893907
108749927712;405,12505066394806
107930029662;402,0706924125552
107138920967;399,12358286604285
106198316280;395,61955735087395
105401224135;392,65015771612525
104528901817;389,40050384774804
103607073731;385,9664266221225
102807923946;382,9893616810441
101867487457;379,4859627522528
100997484633;376,24494967237115
